,제목,정보제공,날짜
0,"원익머트리얼즈, 2Q 호실적…내년도 반도체 수요 '탄탄'-케이프",이데일리,2021.08.10 07:43
1,"원익머트리얼즈, 2Q 영업익 122억…전년比 4.8%↑",이데일리,2021.08.09 10:30
2,"연관기사 목록  원익머트리얼즈, 2Q 영업익 122억…전년比 4.8%↑[주목 e공시]  한국경제  2021.08.09 10:26","연관기사 목록  원익머트리얼즈, 2Q 영업익 122억…전년比 4.8%↑[주목 e공시]  한국경제  2021.08.09 10:26","연관기사 목록  원익머트리얼즈, 2Q 영업익 122억…전년比 4.8%↑[주목 e공시]  한국경제  2021.08.09 10:26"
3,"원익머트리얼즈, 2Q 영업익 122억…전년比 4.8%↑[주목 e공시]",한국경제,2021.08.09 10:26
4,"원익머트리얼즈, 꾸준한 분기 매출 성장 -하나",이데일리,2021.06.17 07:40
5,"연관기사 목록  [클릭 e종목]""원익머트리얼즈, 안정적 실적 대비 주가 답답…언제가 ...  아시아경제  2021.06.17 07:16","연관기사 목록  [클릭 e종목]""원익머트리얼즈, 안정적 실적 대비 주가 답답…언제가 ...  아시아경제  2021.06.17 07:16","연관기사 목록  [클릭 e종목]""원익머트리얼즈, 안정적 실적 대비 주가 답답…언제가 ...  아시아경제  2021.06.17 07:16"
6,"[클릭 e종목]""원익머트리얼즈, 안정적 실적 대비 주가 답답…언제가 ...",아시아경제,2021.06.17 07:16
7,"원익머티리얼즈, 1Q 영업익 129억원…전년比 31.78%↑",이데일리,2021.05.04 14:41
8,"원익머트리얼즈, 1분기 영업익 105억...전년비 2.9%↓",아시아경제,2021.05.04 10:48
9,"원익머트리얼즈, 올해 최대 실적 경신 전망...목표가 5.1만",서울경제,2021.04.16 08:51
10,"[클릭 e종목]""원익머트리얼즈, 연간 400억대 영업익 달성...실적 ...",아시아경제,2021.02.24 07:53
11,"원익머트리얼즈, 주당 200원 현금 결산배당 결정",이데일리,2021.02.23 13:44
12,"원익머트리얼즈, 4분기 영업익 101억…전년비 29.9%↑",헤럴드경제,2021.02.23 11:29
13,"원익머트리얼즈, 작년 4Q 영업익 29% 증가",아시아경제,2021.02.23 11:27
